School_ID,Short_Name,Long_Name,Primary_Category,CPS_School_Profile,Website,School_Latitude,School_Longitude,Program_Type,Application_Requirements,Program_Selections
609704,FARRAGUT HS,David G Farragut Career Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/FARRAGUT-HS,https://fcaib.org,41.84856,-87.708706,FARRAGUT HS-International Baccalaureate (IB),<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Priority: </strong>Elementary Preference,General</li><li><strong>Note: </strong>International Baccalaureate (IB) is an inquiry-based, concept-driven framework that aims to develop self-directed thinkers and reflective problem solvers. Students enrolled in the IB Program may receive college credit for their high school courses. All students applying to this program must take the CPS HSAT. Elementary Preference School(s): MADERO</li></ul>"
609704,FARRAGUT HS,David G Farragut Career Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/FARRAGUT-HS,https://fcaib.org,41.84856,-87.708706,FARRAGUT HS-Significantly Modified Curriculum w/ Moderate Supports,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609704,FARRAGUT HS,David G Farragut Career Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/FARRAGUT-HS,https://fcaib.org,41.84856,-87.708706,FARRAGUT HS-Pre-Law,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
609705,FENGER HS,Christian Fenger Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/FENGER-HS,https://fengerhighschool.org,41.689951,-87.637572,FENGER HS-General Education,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li></ul>"
609705,FENGER HS,Christian Fenger Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/FENGER-HS,https://fengerhighschool.org,41.689951,-87.637572,FENGER HS-Honors,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: 2.00</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>General</li><li><strong>Note: </strong>General Education and Students with 504 plans must have an HSAT minimum combo score of 120% to be considered for the lottery. Students with IEPs and English Language Learners must have an HSAT&nbsp;minimum combo score of 110% to be considered for the lottery.&nbsp; </li></ul>"
609708,FOREMAN HS,Edwin G. Foreman College and Career Academy,HS,https://www.cps.edu/schools/profiles/school-overview/FOREMAN-HS,http://www.foremancca.org,41.939797,-87.754167,FOREMAN HS-Digital Media,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Students are selected by lottery within groups with preferences for students who have combined HSAT scores above the 58/48th percentile and who live within the attendance area of the school.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609708,FOREMAN HS,Edwin G. Foreman College and Career Academy,HS,https://www.cps.edu/schools/profiles/school-overview/FOREMAN-HS,http://www.foremancca.org,41.939797,-87.754167,FOREMAN HS-General Education,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li></ul>"
609708,FOREMAN HS,Edwin G. Foreman College and Career Academy,HS,https://www.cps.edu/schools/profiles/school-overview/FOREMAN-HS,http://www.foremancca.org,41.939797,-87.754167,FOREMAN HS-Significantly Modified Curriculum w/ Moderate Supports,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609708,FOREMAN HS,Edwin G. Foreman College and Career Academy,HS,https://www.cps.edu/schools/profiles/school-overview/FOREMAN-HS,http://www.foremancca.org,41.939797,-87.754167,FOREMAN HS-Pre-Engineering,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
609709,GAGE PARK HS,Gage Park High School,HS,https://www.cps.edu/schools/profiles/school-overview/GAGE-PARK-HS,https://gageparkhs.org,41.791013,-87.688954,GAGE PARK HS-General Education,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li></ul>"
