School,Selection Method,Min,Mean,Max
Lindblom,Rank,771,813.38,895
Lindblom,Tier 1,687,717.85,769
Lindblom,Tier 2,712,734.78,769
Lindblom,Tier 3,707,733.63,769
Lindblom,Tier 4,603,669.78,771
Northside Prep,Rank,894,897.61,900
Northside Prep,Tier 1,745,817.39,894
Northside Prep,Tier 2,843,871.14,894
Northside Prep,Tier 3,875,884.06,894
Northside Prep,Tier 4,888,891.63,894
Payton,Rank,898,899.44,900
Payton,Tier 1,803,849.11,894
Payton,Tier 2,855,882.74,898
Payton,Tier 3,882,891.13,898
Payton,Tier 4,895,896.61,898
South Shore INTL,Rank,684,734.64,862
South Shore INTL,Tier 1,602,634.69,682
South Shore INTL,Tier 2,602,636.91,684
South Shore INTL,Tier 3,600,633.74,682
South Shore INTL,Tier 4,613,645,677
Westinghouse,Rank,796,821.27,883
Westinghouse,Tier 1,711,744.43,793
Westinghouse,Tier 2,734,765.08,795
Westinghouse,Tier 3,726,759.82,795
Westinghouse,Tier 4,601,693.78,794
Young,Rank,883,891.28,900
Young,Tier 1,808,841.33,883
Young,Tier 2,831,852.64,883
Young,Tier 3,854,870.1,883
Young,Tier 4,872,878.63,883
Brooks,Rank,806,837.39,894
Brooks,Tier 1,694,729.42,804
Brooks,Tier 2,731,773.39,806
Brooks,Tier 3,759,782.61,806
Brooks,Tier 4,704,758.78,806
Hancock,Rank,826,848.51,890
Hancock,Tier 1,722,754.2,814
Hancock,Tier 2,776,802.4,825
Hancock,Tier 3,784,804,826
Hancock,Tier 4,700,762.95,825
Jones,Rank,891,895.02,900
Jones,Tier 1,799,838.11,889
Jones,Tier 2,845,868.11,890
Jones,Tier 3,855,872.53,890
Jones,Tier 4,883,886.96,890
King,Rank,684,724.34,846
King,Tier 1,600,639.03,684
King,Tier 2,600,642.51,684
King,Tier 3,601,635.24,683
King,Tier 4,624,647.63,677
Lane TECH,Rank,875,885.58,900
Lane TECH,Tier 1,747,788.16,874
Lane TECH,Tier 2,810,836.36,875
Lane TECH,Tier 3,838,855.8,875
Lane TECH,Tier 4,862,869.39,875
