School_ID,Short_Name,Long_Name,Primary_Category,CPS_School_Profile,Website,School_Latitude,School_Longitude,Program_Type,Application_Requirements,Program_Selections
100001,NOBLE - COMER MS,Noble - Gary Comer Middle School,MS,https://www.cps.edu/schools/schoolprofiles/,https://nobleschools.org/comer/,41.764083,-87.601974,NOBLE - COMER MS - Middle School,None,""
100002,PERSPECTIVES MS,Perspectives - Middle Academy,MS,https://www.cps.edu/schools/schoolprofiles/,https://pcsedu.org/pcs-our-campuses/perspectives-middle-academy/,41.739156,-87.626603,PERSPECTIVES MS - Middle School,None,""
100003,ART IN MOTION MS,Art in Motion - Middle School,MS,https://www.cps.edu/schools/schoolprofiles/,https://www.aimchicago.org/,41.760540,-87.583042,ART IN MOTION MS - Middle School,None,""
100004,INTRINSIC MS,Intrinsic - Middle,MS,https://www.cps.edu/schools/schoolprofiles/,https://intrinsicschools.org/belmont-campus/,41.760604,-87.583256,INTRINSIC MS - Middle School,None,""
