SCHOOL,PROGRAM,CUTOFF SCORE
AIR FORCE HS,Military & Service Leadership,83
ALCOTT HS,Pre-Engineering ,311
AMUNDSEN HS,International Baccalaureate (IB),833
BACK OF THE YARDS HS,International Baccalaureate (IB),589
BRONZEVILLE HS,International Baccalaureate (IB),195
CARVER MILITARY HS,Military & Service Leadership,265
CHIARTS HS,Creative Writing,462
CHIARTS HS,Dance,110
CHIARTS HS,Instrumental Music-Strings,153
CHIARTS HS,Musical Theatre,254
CHIARTS HS,Theatre,118
CHIARTS HS,Visual Arts,300
CHIARTS HS,Vocal Music,302
CHICAGO MILITARY HS,Military & Service Leadership,51
CHICAGO VOCATIONAL HS,Medical & Health Careers,0
CLEMENTE HS,Allied Health,162
CURIE HS,International Baccalaureate (IB),640
CURIE HS,Pre-Engineering,459
DUNBAR HS,Health Sciences,56
FARRAGUT HS,International Baccalaureate (IB),0
FARRAGUT HS,Pre-Law,77
FOREMAN HS,Pre-Engineering,89
GAGE PARK HS,Health Sciences,63
HANCOCK HS,Pre-Engineering,523
HANCOCK HS,Pre-Law,524
HUBBARD HS,International Baccalaureate (IB),525
HUBBARD HS,University Scholars,49
INSTITUTO - HEALTH,Allied Health,0
JONES HS,Pre-Engineering,537
JONES HS,Pre-Law,536
JUAREZ HS,International Baccalaureate (IB),367
JUAREZ HS,Health Sciences,287
JULIAN HS,Health Sciences,148
KELLY HS,International Baccalaureate (IB),492
KELVYN PARK HS,Allied Health,0
KENNEDY HS,International Baccalaureate (IB),730
KING HS,Pre-Engineering,367
LINCOLN PARK HS,Drama,33
LINCOLN PARK HS,Instrumental Music,20
LINCOLN PARK HS, International Baccalaureate (IB) - MYP Diploma Program,754
LINCOLN PARK HS,International Baccalaureate (IB) - MYP Honors/DoubleHonors,823
LINCOLN PARK HS,Visual Arts,14
LINCOLN PARK HS,Vocal Music,13
MARINE LEADERSHIP AT AMES HS,Military & Service Leadership,178
MATHER HS,Pre-Engineering,235
MATHER HS,Pre-Law,25
MORGAN PARK HS,International Baccalaureate (IB),401
MULTICULTURAL ARTS HIGH SCHOOL,Allied Health,0
NORTH-GRAND HS,Health Sciences,302
NORTH-GRAND HS,Pre-Engineering,356
OGDEN HS,International Baccalaureate (IB),0
PHOENIX MILITARY HS,Military & Service Leadership,300
PROSSER HS,International Baccalaureate (IB),536
RICKOVER MILITARY HS,Military & Service Leadership,349
ROOSEVELT HS,Computer Networking,0
ROOSEVELT HS,Medical & Health Careers,145
SCHURZ HS,Allied Health,161
SCHURZ HS,International Baccalaureate (IB),297
SCHURZ HS,Pre-Engineering,129
SENN HS,Dance,602
SENN HS,International Baccalaureate (IB),570
SENN HS,Music,491
SENN HS,Theatre,498
SENN HS,Visual Arts,700
SIMEON HS,Career Academy,96
SOCIAL JUSTICE HS,Allied Health,82
SOUTH SHORE INTL HS,International Baccalaureate (IB),494
SOUTH SHORE INTL HS,Health Sciences,363
STEINMETZ HS,International Baccalaureate (IB),175
SULLIVAN HS,Medical & Health Careers,147
TAFT HS,International Baccalaureate (IB),878
TAFT HS,NJROTC,0
VON STEUBEN HS,Scholars,76
WASHINGTON HS,International Baccalaureate (IB),502
WELLS HS,Pre-Law,0
WILLIAMS HS,Medical & Health Careers,0
WORLD LANGUAGE HS,Allied Health,172
